dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743609560,Year.Year<categorical>,nan,Root,50,7.0445757,1.5232726
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743638939,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743653827,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743656509,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743659317,Year.Year<categorical>,nan,"Year (slicer) - Year: 2011, 2012 selected",15,0.8057393,2.502573
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743660675,nan,nan,Year (slicer) - deselected,18,2.6397872,2.2288156
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743661984,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743663747,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743665624,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743667517,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743683523,nan,nan,Year (slicer) - deselected,18,2.6397872,2.2288156
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743685400,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743687078,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743688717,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743690987,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743693434,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743695222,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743718772,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743723794,nan,nan,Year (slicer) - deselected,18,2.6397872,2.2288156
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743725551,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743727484,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743732925,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743735156,nan,nan,Year (slicer) - deselected,18,2.6397872,2.2288156
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743735774,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743737419,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,8,1656743739031,nan,nan,Year (slicer) - deselected,18,2.6397872,2.2288156
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683232299,Year.Year<categorical>,nan,Root,50,7.0445757,1.5232726
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683253656,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,109,-0.28453216,-0.65581244
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683270170,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: North selected,27,-3.4307163,-3.3309188
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683273044,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Midwest selected,26,-3.4814208,-4.5026197
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683274797,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,22,-4.1260686,-3.8504233
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683276598,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,10,-3.8113377,-3.9539108
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683277800,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Central selected,19,-2.6257353,-4.001201
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683279418,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,29,-3.99797,-3.1442242
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683281146,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: West selected,16,-3.247763,-2.829319
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,8,1656683302686,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,29,-3.99797,-3.1442242
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742789981,Year.Year<categorical>,nan,Root,50,7.0445757,1.5232726
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742804247,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,0.9364706,10.154455
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742815186,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: North selected,4,-1.0916736,11.750672
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742851905,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Midwest selected,3,-1.2853267,11.731361
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742853854,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Northwest selected,2,-1.062034,11.779684
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742858330,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,1,-0.11631173,11.688454
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742861104,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Central selected,2,-0.9618197,11.170011
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742863786,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: South selected,2,-0.9012293,11.875091
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742865841,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: West selected,2,-0.44846123,12.434313
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742868797,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2012 selected,2,-3.028638,-2.7597687
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742876163,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: North selected,1,-3.2764943,-3.013135
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742878723,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Midwest selected,6,-3.5173028,-3.537023
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742881156,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Northwest selected,10,-3.5674393,-4.441126
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,8,1656742884619,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,10,-3.8113377,-3.9539108
