dashboard_experience,line,user_id,answer_correct,no_of_steps,running_time,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,42.398,6,1656743270276,Year.Year<categorical>,nan,Root,48,-10.343707,24.366264
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,42.398,6,1656743278428,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected,2,-19.070171,5.590637
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,3,42.398,6,1656743285960,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: South selected,19,16.925373,-7.519172
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656682985429,Year.Year<categorical>,nan,Root,48,-10.343707,24.366264
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656682992367,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,41,-0.4284786,-23.340925
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683000568,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group B selected,17,11.784928,-3.3846452
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683001163,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group C selected,6,12.813689,-1.9109719
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683001763,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group B selected,17,11.337215,-3.0586576
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683002703,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","Ethnicity (slicer) - Ethnicity: Group B, Group C selected",3,12.047763,-2.421521
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683004424,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E, Group F selected",3,9.899775,4.9923315
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,8,48.683,6,1656683005221,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","Ethnicity (slicer) - Ethnicity: Group B, Group C, Group D, Group E, Group F, Group G selected",15,8.612413,6.4932013
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,14,114.453,6,1656742298850,Year.Year<categorical>,nan,Root,48,-10.343707,24.366264
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,14,114.453,6,1656742313747,"Region.Region<categorical>, Year.Year<categorical>",nan,Region (slicer) - Region: South selected,6,-13.645647,24.98798
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,14,114.453,6,1656742334618,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group A selected,19,17.548733,-7.484393
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,14,114.453,6,1656742339892,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Ethnicity (slicer) - deselected,41,0.3455286,-23.040443
