dashboard_experience,line,user_id,answer_correct,no_of_steps,running_time,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743609560,Year.Year<categorical>,nan,Root,49,-3.7152097,-0.29274416
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743638939,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,26.569315,10.243682
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743653827,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-22.30322,4.386556
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743656509,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,27.94908,8.517578
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743659317,Year.Year<categorical>,nan,"Year (slicer) - Year: 2011, 2012 selected",15,5.742896,41.802914
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743660675,nan,nan,Year (slicer) - deselected,18,-19.008497,32.68067
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743661984,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,28.577091,9.054011
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743663747,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-23.91363,7.799473
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743665624,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,27.33044,7.98391
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743667517,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-26.346287,7.8928504
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743683523,nan,nan,Year (slicer) - deselected,18,-19.008497,32.68067
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743685400,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-22.210667,5.3495135
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743687078,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,28.361927,10.072373
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743688717,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-23.608967,5.0630217
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743690987,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,27.937817,9.8625765
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743693434,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-25.420023,6.765578
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743695222,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,27.914816,8.160681
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743718772,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-24.30502,3.8461099
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743723794,nan,nan,Year (slicer) - deselected,18,-18.701721,32.499607
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743725551,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-23.611273,5.332145
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743727484,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,27.409,8.444081
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743732925,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-26.203411,2.2939959
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743735156,nan,nan,Year (slicer) - deselected,18,-18.701721,32.499607
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743735774,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,28.557062,9.487962
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743737419,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-28.212782,5.6113677
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,26,137.062,8,1656743739031,nan,nan,Year (slicer) - deselected,18,-18.701721,32.499607
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683232299,Year.Year<categorical>,nan,Root,49,-3.7152097,-0.29274416
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683253656,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,108,-23.642366,4.5393405
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683270170,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: North selected,26,20.982944,-36.88553
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683273044,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Midwest selected,25,0.9596852,-42.513744
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683274797,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,22,-9.31222,-36.910786
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683276598,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,10,-8.0007515,-35.838943
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683277800,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Central selected,18,-0.83985287,-30.119846
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683279418,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,27,18.467585,-18.762535
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683281146,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: West selected,15,20.618275,-23.369299
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,10,97.016,8,1656683302686,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: South selected,27,18.208502,-18.828335
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,108.33,8,1656742789981,Year.Year<categorical>,nan,Root,49,-3.7152097,-0.29274416
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,108.33,8,1656742804247,Year.Year<categorical>,nan,Year (slicer) - Year: 2011 selected,78,26.771517,8.188046
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,108.33,8,1656742815186,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: North selected,4,11.514138,11.62097
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,108.33,8,1656742851905,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Midwest selected,3,11.870194,11.780245
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,16,108.33,8,1656742853854,"Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: Northwest selected,2,12.47075,12.403509
