dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742615838,Year.Year<categorical>,nan,Root,54,-24.571455,-7.1050897
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742618006,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group E selected,1,93.65781,85.53786
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742634275,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group F selected,54,-56.985405,25.953953
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742644978,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742646692,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742647930,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742648864,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742650322,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742652306,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742653582,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,True,11,3,1656742655026,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,3,1656682603248,Year.Year<categorical>,nan,Root,54,-24.571455,-7.1050897
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,3,1656682622142,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group F selected,54,-56.985405,25.953953
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,3,1656682634717,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,3,1656682636572,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,3,1656742692209,Year.Year<categorical>,nan,Root,54,-24.571455,-7.1050897
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,3,1656742696697,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group F selected,13,59.09883,48.28635
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,3,1656742702628,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,38,-102.642525,-137.65616
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,3,1656742704647,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,5,3,1656742310811,Year.Year<categorical>,nan,Root,54,-24.571455,-7.1050897
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,5,3,1656742313109,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,8,-97.621956,5.3144283
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,5,3,1656742322786,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group F selected,38,-102.642525,-137.65616
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,5,3,1656742339489,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2013 selected,54,-56.985405,25.953953
