dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,2,1,1656742327887,Year.Year<categorical>,nan,Root,45,67.08878,67.88637
0,-1,-1,False,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,2,1,1656742341494,"NewHiresByEthnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,2,28.204353,63.168552
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,1,1656682942178,Year.Year<categorical>,nan,Root,45,67.08878,67.88637
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,1,1656682946757,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,3,56.776546,96.55321
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,1,1656682949710,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,14,-21.23613,-14.727843
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,1,1656682952031,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected,6,-10.481447,8.268434
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,1,1656742497661,Year.Year<categorical>,nan,Root,45,67.08878,67.88637
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,1,1656742502079,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group A selected,2,10.19001,79.77007
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,1,1656742504694,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2014 selected,10,15.821149,-62.762928
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,1,1656742511571,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: Northwest selected,4,36.285828,-6.265203
