dashboard_experience,line,user_id,answer_correct,no_of_steps,running_time,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,2,28.584,1,1656742327887,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
0,1,a10653e4-ff8c-432c-b1d8-017e2efa276d,False,2,28.584,1,1656742341494,"NewHiresByEthnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,2,5.192054,-18.197485
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,39.45,1,1656682942178,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,39.45,1,1656682946757,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,3,4.9209347,7.6542544
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,39.45,1,1656682949710,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,14,3.3853822,8.263188
1,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,4,39.45,1,1656682952031,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected,6,3.3583794,7.393254
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,35.855,1,1656742497661,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,35.855,1,1656742502079,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group A selected,2,8.05269,-14.865146
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,35.855,1,1656742504694,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2014 selected,10,1.3375362,29.836363
1,3,44df4643-eb24-42ae-a494-2104cfeb0539,True,4,35.855,1,1656742511571,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: Northwest selected,4,1.7566924,30.32091
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,3,47.401,1,1656742257231,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,3,47.401,1,1656742258866,Year.Year<categorical>,nan,Year (slicer) - Year: 2014 selected,24,-2.9317687,-21.376314
0,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,True,3,47.401,1,1656742265234,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,14,3.3853822,8.263188
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496572025,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496581001,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: Northwest selected,3,4.9209924,7.6537476
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496585377,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,1,5.0462227,8.120041
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496590974,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2014 selected,7,3.9439409,8.957607
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496600176,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - deselected,14,3.3853822,8.263188
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496601740,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,7,3.9429972,8.959329
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496604334,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - deselected,14,3.3853822,8.263188
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496605891,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,7,3.9429934,8.9593315
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496617799,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jul selected,1,-3.5974193,8.953177
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496620744,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Aug selected,1,-3.4089072,8.931203
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496622616,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Sep selected,1,-3.4089324,8.932186
1,5,e2690841-7dea-4852-993e-c322d16165a4,True,12,105.831,1,1656496623882,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group A selected,7,3.9429967,8.95933
0,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,19.103,1,1656742570544,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
0,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,19.103,1,1656742575919,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group A selected,10,2.0168977,29.063162
0,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,19.103,1,1656742580168,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: Northwest selected,4,2.491044,29.407042
1,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,False,3,41.028,1,1657783667235,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
1,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,False,3,41.028,1,1657783683979,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group A selected,2,8.052387,-14.865786
1,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,False,3,41.028,1,1657783688309,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: Northwest selected,4,2.4910443,29.407042
1,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,3,123.624,1,1657146244926,Year.Year<categorical>,nan,Root,44,8.499372,-17.007435
