dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682878621,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2012 selected,7,6.985155,-4.2475615
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682882164,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByMonth(Full-Time/Part-Time).Month<categorical>,Year (slicer) - Year: 2012 selected,1,6.2401223,-4.8880444
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682883080,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - deselected,1,-2.5742574,7.3563576
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682883839,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2013 selected,5,-2.7031775,6.0989995
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682902994,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,6,-2.9503734,4.9973855
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682904925,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb selected",3,-2.7754505,5.2217865
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682907142,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar selected",2,-2.857,5.4941487
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682908647,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr selected",3,-2.8891935,5.680129
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682909899,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May selected",3,-2.8447666,5.9018946
1,1,3,False,2,e8c3d443-20e8-413a-af5c-6628f20c71d1,True,18,5,1656682910696,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun selected",5,-2.7031775,6.0989995
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,4,5,1656742643991,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,4,5,1656742657771,"Region.Region<categorical>, Year.Year<categorical>",nan,Region (slicer) - Region: East selected,4,-2.5527585,1.650718
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,4,5,1656742664816,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Ethnicity (slicer) - Ethnicity: Group B selected,1,-3.4737322,1.5367028
1,1,4,False,3,44df4643-eb24-42ae-a494-2104cfeb0539,False,4,5,1656742668074,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2012 selected,19,3.6560452,-5.280955
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,4,5,1656742212917,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,4,5,1656742215842,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,11,4.0284047,-3.8019812
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,4,5,1656742219467,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group B selected,12,4.539396,-4.8230295
0,-1,-1,False,4,9bd07c5c-8dfe-44b0-8df2-5a5634547d76,False,4,5,1656742222668,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: East selected,19,3.6560452,-5.280955
