x,y,line,multiplicity,timestamp,answer_correct,running_time,triggeredAction,selectedValues,filteredValues
0.9203562140464783,0.37448030710220337,3,39,1656742643991,False,46523,Root,Year.Year<categorical>,nan
0.8748003840446472,0.3321937620639801,3,3,1656742657771,False,46523,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",nan
0.7170124053955078,0.17546384036540985,3,1,1656742664816,False,46523,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.6224547624588013,0.06188160926103592,3,15,1656742668074,False,46523,Year (slicer) - Year: 2012 selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,4,39,1656742212917,False,37471,Root,Year.Year<categorical>,nan
0.8603991866111755,0.4697452187538147,4,8,1656742215842,False,37471,Year (slicer) - Year: 2012 selected,Year.Year<categorical>,nan
0.4063326418399811,0.9434042572975159,4,11,1656742219467,False,37471,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.6224464178085327,0.062017668038606644,4,15,1656742222668,False,37471,Region (slicer) - Region: East selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,5,39,1656496872311,False,110535,Root,Year.Year<categorical>,nan
0.7161829471588135,0.17609402537345886,5,5,1656496882840,False,110535,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.7177757024765015,0.17831437289714813,5,1,1656496886999,False,110535,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.7051223516464233,0.16808190941810608,5,1,1656496895197,False,110535,Year (slicer) - Year: 2012 selected,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.9203562140464783,0.37448030710220337,6,39,1656742463999,False,47509,Root,Year.Year<categorical>,nan
0.42347562313079834,0.9769495129585266,6,15,1656742470367,False,47509,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.4265213906764984,1.0,6,6,1656742472594,False,47509,Region (slicer) - Region: East selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.9203562140464783,0.37448030710220337,7,39,1657146513168,False,82287,Root,Year.Year<categorical>,nan
0.9999998211860657,0.38372135162353516,7,10,1657146536227,False,82287,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan
0.397863507270813,0.9474084973335266,7,11,1657146537648,False,82287,Year (slicer) - Year: 2012 selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.206037238240242,0.5812875032424927,7,2,1657146544962,False,82287,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.20814186334609985,0.5930272936820984,7,1,1657146546447,False,82287,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Mar selected,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.20603954792022705,0.5812883377075195,7,2,1657146547482,False,82287,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.39784711599349976,0.9474279284477234,7,11,1657146555232,False,82287,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.14005134999752045,0.55177903175354,7,3,1657146560201,False,82287,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Feb, Mar, Apr, May, Jun selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.36782968044281006,0.8986974358558655,7,1,1657146573379,False,82287,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.4062940180301666,0.9434277415275574,7,11,1657146577518,False,82287,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.14004994928836823,0.551818311214447,7,3,1657146580066,False,82287,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Feb, Mar, Apr, May, Jun selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>"
0.9203562140464783,0.37448030710220337,8,39,1656427538548,False,121476,Root,Year.Year<categorical>,nan
0.7161890268325806,0.17609049379825592,8,5,1656427545777,False,121476,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.6096178889274597,0.02866438589990139,8,15,1656427551740,False,121476,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,9,39,1656683044896,True,98740,Root,Year.Year<categorical>,nan
0.8780790567398071,0.4426399767398834,9,2,1656683055536,True,98740,Year (slicer) - deselected,nan,nan
0.8603991866111755,0.46974554657936096,9,8,1656683056184,True,98740,Year (slicer) - Year: 2012 selected,Year.Year<categorical>,nan
0.8661383986473083,0.4754706621170044,9,1,1656683078753,True,98740,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected,"NewHiresByEthnicity.Ethnicity<categorical>, Year.Year<categorical>",nan
0.8604028820991516,0.4697529971599579,9,8,1656683097797,True,98740,New Hires by Ethnicity (clusteredBarChart) - deselected,Year.Year<categorical>,nan
0.8640727996826172,0.48292988538742065,9,1,1656683100438,True,98740,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan
0.6099339127540588,0.06882737576961517,9,15,1656683110428,True,98740,Region (slicer) - Region: East selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.0797094851732254,0.32012712955474854,9,2,1656683117817,True,98740,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.07271187752485275,0.33853116631507874,9,2,1656683119062,True,98740,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.06697347015142441,0.36188292503356934,9,2,1656683119978,True,98740,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.05970195680856705,0.3882099986076355,9,2,1656683120625,True,98740,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.05064203590154648,0.4144044518470764,9,2,1656683121570,True,98740,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.048338282853364944,0.4367494583129883,9,5,1656683122347,True,98740,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,10,39,1656742724410,True,65428,Root,Year.Year<categorical>,nan
0.9999998211860657,0.38372138142585754,10,10,1656742731136,True,65428,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan
0.40404579043388367,0.9661571979522705,10,1,1656742734721,True,65428,Year (slicer) - deselected,Ethnicity.Ethnicity<categorical>,NewHiresByEthnicity.Ethnicity<categorical>
