timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByRegion.NewHires<numerical>;NewHiresByRegion.Region<categorical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1656742443170;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;5;3;22;3;34;1656742610269;New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;17,12,8,29,20,22,25,20,21,27,32,13;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,15,1,11,8,3,26,2,18,3,19,1,24,4,16,4,17,2,25,3,29,3,10;246;0,1,0,0,0,1,0,1,0,1,0,1,0,1;246;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,1,0,0,0
1656742520273;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;5;3;22;3;34;1656742610269;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: May, Jun, Jul, Aug, Aug. FPDesc: Full-Time, Full-Time, Full-Time, Full-Time, Part-Time selected;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;17,12,8,29,20,22,25,20,21,27,32,13;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0;1,0,1,0;2,15,1,11,8,3,26,2,18,3,19,1,24,4,16,4,17,2,25,3,29,3,10;246;0,1,0,0,0,1,0,1,0,1,0,1,0,1;246;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,0,1,0,0,0
1656742568497;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;5;3;22;3;34;1656742610269;Year (slicer) - Year: 2012 selected;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;17,12,8,29,20,22,25,20,21,27,32,13;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0;1,0,1,0;2,2,4,2,1,2,1,1,7,1,8,3,3,3,8,13,14,8;246;0,1,0,0,0,1,0,1,0,1,0,1,0,1;246;0,1,0,1,0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1656742615838;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Root;Year.Year<categorical>;;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742618006;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Ethnicity (slicer) - Ethnicity: Group E selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;6,2,2,4,6,6,8,7,3,11,7,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,2,2,2,1,4,4,4,5,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;6,2,2,4,6,6,8,7,3,11,1,6,1;63;0,1,0,1,0,1,0,1,0,1,0,0,0,1;14,11,11,2,15,8,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742634213;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Ethnicity (slicer) - deselected;Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;9,18,20,23,39,26,38,77,59,52,50,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;430;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63,31,88,41,51,75,81;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742634275;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Ethnicity (slicer) - Ethnicity: Group F selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;9,18,20,23,39,26,38,77,59,52,50,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;430;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63,31,88,41,51,75,81;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742644978;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;9,18,20,23,39,26,38,77,59,52,50,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,8,2,9,5,14,1,6,8,2,10,3,5,3,17,2,35,1,32,3,39,12;430;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63,31,88,41,51,75,81;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0
1656742646692;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;9,18,20,23,39,26,38,77,59,52,50,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;430;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63,31,88,41,51,75,81;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742647930;a10653e4-ff8c-432c-b1d8-017e2efa276d;23;f;0;-1;-1;3;3;2;2013;2;2013;1656742660296;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;2,2,2,8,12,10,11,11,12,7,9;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,8,2,9,5,14,1,6,8,2,10,3,5,3,17,2,35,1,32,3,39,12;219;0,1,0,1,0,1,0,0,0,1,0,1,0,1;38,24,34,15,15,44,49;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0
