timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByEthnicity.NewHires[numerical];NewHiresByRegion.Region[categorical];NewHiresByRegion.NewHires[numerical];Year.Year[categorical]
1654351376821;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;Root;;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;217,1259,240,1833,318,2567,404,2837,435,3638,357,3930,311,3706,386,4569,366,4502,396,5006,330,3966,151,1396;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351383370;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;330,3966;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351385439;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected;NewHiresByEthnicity.Ethnicitycategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;13,187,24,275,25,432,32,519,27,726,41,934,40,803,39,905,31,899,26,1090,28,851,21,268;0,0,1,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351387928;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicitycategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresByEthnicity.Ethnicitycategorical;0,1,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;200,299,457,551,753,975,843,944,930,1116,879,289;200,299,457,551,753,975,843,944,930,1116,879,289;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;13,187,24,275,25,432,32,519,27,726,41,934,40,803,39,905,31,899,26,1090,28,851,21,268;0,1,1,0,0,1,0,1,0,1,0,1,0,1;8236;0,0,0,0,0,0,0,0,0,0,0,0,0,0;843,748,1366,704,1231,2332,1012;0,0,0,0,0,0,0
1654351388939;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;Region (slicer) - Region: Midwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,1,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,33,66,42,57,71,79,89,82,105,87,28;9,33,66,42,57,71,79,89,82,105,87,28;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;9,2,31,2,64,1,41,57,71,3,76,1,88,3,79,1,104,2,85,1,27;0,1,1,0,0,1,0,1,0,1,0,1,0,1;748;0,1,0,0,0,1,0,1,0,1,0,1,0,1;748;0,0,0,0,0,0,0
1654351390440;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,1,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;2,4,18,13,16,25,18,21,15,35,17,9;8,6,4,12,8,8,6,12,19,14,5;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,4,18,1,12,16,25,18,1,20,15,35,17,9;0,1,1,0,0,1,0,1,0,1,0,1,0,1;193;0,1,0,0,0,1,0,1,0,1,0,1,0,1;193;0,0,0,1,0,0,0
1654351393235;c47b6d91-57e4-4c4c-ae48-4607d9a737a9;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Dec, FPDesc: Part-Time selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,1,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;2,4,18,13,16,25,18,21,15,35,17,9;8,6,4,12,8,8,6,12,19,14,5;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0,0,1,0;2,4,18,1,12,16,25,18,1,20,15,35,17,9;0,1,0,0,0,1,0,1,0,1,0,1,0,1;193;0,1,0,0,0,1,0,1,0,1,0,1,0,1;193;0,0,0,1,0,0,0
